58.545,23.618
58.515,23.625
58.559,23.592
58.539,23.61
58.499,23.606
58.568,23.591
58.518,23.627
58.525,23.594
58.553,23.59
58.545,23.618
58.564,23.619
58.626,23.559
58.495,23.613
58.542,23.63
58.506,23.622
58.498,23.638
58.541,23.586
58.488,23.627
58.477,23.613
58.477,23.593
58.491,23.594
58.548,23.608
58.548,23.578
58.635,23.561
58.518,23.601
58.467,23.609
58.534,23.612
58.508,23.633
58.519,23.586
58.561,23.597
58.483,23.604
58.517,23.62
58.499,23.606
58.621,23.558
58.534,23.593
58.545,23.618
58.564,23.619
58.495,23.613
58.497,23.627
58.548,23.631
